,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
0,-0.6126159999999999,0.238039,0.973418,0.06717200000000001,-0.263369,0.233756,-0.7162350000000001,-0.482725,-0.596525,2
1,-0.592698,2.178025,-2.951178,1.459141,0.6017060000000001,-0.8128350000000001,-0.486342,4.232929,-0.596525,6
2,-0.635854,-0.012282,0.8854719999999999,0.201015,-0.001225,0.282815,-0.630025,-0.482725,0.44983900000000004,2
3,1.362579,2.271895,-0.53266,1.646521,-3.133846,0.429992,0.576916,-0.482725,-0.596525,6
4,-0.798517,-0.9666299999999999,1.017391,0.46870100000000003,0.418205,0.233756,-0.637209,-0.482725,2.124021,1
5,-1.070729,0.942066,-0.004983,5.501204,-3.618813,1.934466,-2.2177279999999997,5.584198000000001,-0.596525,4
6,-0.200979,0.191104,0.797525,0.201015,-0.800764,0.135638,-0.119949,-0.482725,-0.596525,3
7,-0.35368299999999997,-1.655012,0.03899,0.49546999999999997,0.28713299999999997,0.331874,0.196155,-0.482725,-0.596525,2
8,-0.652452,1.505288,-2.951178,3.4667879999999998,0.260919,-0.8128350000000001,0.354207,1.006429,-0.596525,6
9,-0.018397999999999998,1.536578,-2.951178,1.004074,0.27402600000000005,1.4929350000000001,-1.786677,7.459428999999999,-0.596525,6
10,1.279588,1.599158,-2.951178,-1.190954,0.024988999999999997,-0.649305,1.841331,-0.482725,0.24056599999999997,2
11,-0.642493,-1.9522680000000001,0.918451,-0.254052,0.313348,0.11928499999999999,-0.306737,-0.482725,-0.596525,3
12,-0.8117949999999999,-0.857115,0.918451,1.807133,0.011881999999999998,0.315521,-0.709051,-0.482725,-0.596525,2
13,-0.22753600000000002,-1.326466,0.918451,-0.039902999999999994,0.654135,0.11928499999999999,-0.299553,-0.482725,-0.596525,1
14,-0.42671499999999996,0.488359,1.094344,0.977305,-0.77455,0.233756,-0.773709,-0.482725,-0.596525,2
