,A1,A2,A3,A4,A5,A6,A7,Class
0,0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
1,0.64,0.46,0.48,0.5,0.48,0.73,0.76,5
2,0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
3,0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
4,0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
5,0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
6,0.66,0.48,0.48,0.5,0.54,0.7,0.74,5
7,0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
8,0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
9,0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
10,0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
11,0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
12,0.59,0.61,0.48,0.5,0.42,0.42,0.37,8
13,0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
14,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
15,0.73,0.84,0.48,0.5,0.86,0.58,0.29,6
16,0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
17,0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
18,0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
19,0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
20,0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
21,0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
22,0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
23,0.68,0.49,1.0,0.5,0.62,0.55,0.28,7
24,0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
25,0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
26,0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
27,0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
28,0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
29,0.0,0.38,0.48,0.5,0.42,0.48,0.55,1
30,0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
31,0.74,0.78,0.48,0.5,0.75,0.54,0.15,6
32,0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
33,0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
34,0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
35,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
36,0.74,0.9,0.48,0.5,0.57,0.53,0.29,6
37,0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
38,0.78,0.68,0.48,0.5,0.83,0.4,0.29,6
39,0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
40,0.88,0.42,0.48,0.5,0.52,0.73,0.75,5
41,0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
42,0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
43,0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
44,0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
45,0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
46,0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
47,0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
48,0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
49,0.61,0.47,0.48,0.5,0.0,0.8,0.32,2
50,0.79,0.41,0.48,0.5,0.66,0.81,0.83,5
51,0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
52,0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
53,0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
54,0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
55,0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
56,0.78,0.44,0.48,0.5,0.45,0.73,0.68,5
57,0.62,0.83,0.48,0.5,0.46,0.36,0.4,8
58,0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
59,0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
60,0.64,0.45,0.48,0.5,0.67,0.61,0.66,5
61,0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
62,0.66,0.86,0.48,0.5,0.34,0.41,0.36,8
63,0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
64,0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
65,0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
66,0.72,0.86,0.48,0.5,0.17,0.55,0.21,8
67,0.29,0.39,0.48,0.5,0.52,0.4,0.48,8
68,0.71,0.71,0.48,0.5,0.4,0.54,0.39,8
69,0.63,0.51,0.48,0.5,0.64,0.72,0.76,5
70,0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
71,0.69,0.43,0.48,0.5,0.59,0.74,0.77,5
72,0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
73,0.63,0.86,0.48,0.5,0.39,0.47,0.34,8
74,0.83,0.48,0.48,0.5,0.65,0.76,0.79,5
75,0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
76,0.75,0.76,0.48,0.5,0.83,0.57,0.3,6
77,0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
78,0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
79,0.57,0.59,0.48,0.5,0.39,0.47,0.33,8
80,0.63,0.5,0.48,0.5,0.59,0.85,0.86,2
81,0.67,0.84,0.48,0.5,0.74,0.54,0.37,6
82,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
83,0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
84,0.74,0.82,0.48,0.5,0.49,0.49,0.41,8
85,0.63,0.65,0.48,0.5,0.39,0.44,0.35,8
86,0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
87,0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
88,0.74,0.47,0.48,0.5,0.5,0.57,0.42,8
89,0.47,0.46,0.48,0.5,0.62,0.74,0.77,5
90,0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
91,0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
92,0.56,0.54,0.48,0.5,0.43,0.37,0.3,8
93,0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
94,0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
95,0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
96,0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
97,0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
98,0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
99,0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
100,0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
101,0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
102,0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
103,0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
104,0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
105,0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
106,0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
107,0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
108,0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
109,0.4,0.45,0.48,0.5,0.38,0.22,0.0,1
110,0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
111,0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
112,0.77,0.57,1.0,0.5,0.37,0.54,0.01,7
113,0.64,0.72,0.48,0.5,0.49,0.42,0.19,8
114,0.63,0.69,0.48,0.5,0.65,0.41,0.28,6
115,0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
116,0.6,0.76,1.0,0.5,0.77,0.59,0.52,6
117,0.68,0.76,0.48,0.5,0.84,0.45,0.27,6
118,0.75,0.55,1.0,1.0,0.4,0.47,0.3,4
119,0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
120,0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
121,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
122,0.75,0.37,0.48,0.5,0.64,0.7,0.74,5
123,0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
124,0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
125,0.68,0.67,0.48,0.5,0.49,0.4,0.34,8
