,A1,A2,A3,A4,A5,A6,A7,Class
0,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
1,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
2,0.67,0.81,0.48,0.5,0.25,0.42,0.25,8
3,0.75,0.76,0.48,0.5,0.83,0.57,0.3,6
4,0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
5,0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
6,0.75,0.55,1.0,1.0,0.4,0.47,0.3,4
7,0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
8,0.68,0.78,0.48,0.5,0.43,0.44,0.42,8
9,0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
10,0.83,0.48,0.48,0.5,0.65,0.76,0.79,5
11,0.0,0.51,0.48,0.5,0.35,0.67,0.44,2
12,0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
13,0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
14,0.4,0.45,0.48,0.5,0.38,0.22,0.0,1
15,0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
16,0.0,0.38,0.48,0.5,0.42,0.48,0.55,1
17,0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
18,0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
19,0.74,0.47,0.48,0.5,0.5,0.57,0.42,8
20,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
21,0.74,0.49,0.48,0.5,0.42,0.54,0.36,8
22,0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
23,0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
24,0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
25,0.76,0.71,0.48,0.5,0.5,0.71,0.75,5
26,0.72,0.42,0.48,0.5,0.65,0.77,0.79,5
27,0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
28,0.48,0.49,0.48,0.5,0.52,0.77,0.71,2
29,0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
30,0.76,0.41,0.48,0.5,0.5,0.59,0.62,5
31,0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
32,0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
33,0.75,0.84,0.48,0.5,0.35,0.52,0.33,8
34,0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
35,0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
36,0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
37,0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
38,0.59,0.29,0.48,0.5,0.64,0.75,0.77,5
39,0.63,0.69,0.48,0.5,0.65,0.41,0.28,6
40,0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
41,0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
42,0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
43,0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
44,0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
45,0.68,0.76,0.48,0.5,0.84,0.45,0.27,6
46,0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
47,0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
48,0.49,0.61,1.0,0.5,0.56,0.71,0.74,5
49,0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
50,0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
51,0.61,0.6,0.48,0.5,0.44,0.39,0.38,8
52,0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
53,0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
54,0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
55,0.64,0.57,0.48,0.5,0.7,0.33,0.26,6
56,0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
57,0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
58,0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
59,0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
60,0.81,0.44,0.48,0.5,0.42,0.67,0.68,5
61,0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
62,0.87,0.49,0.48,0.5,0.61,0.76,0.79,5
63,0.63,0.57,0.48,0.5,0.49,0.7,0.2,8
64,0.56,0.4,0.48,0.5,0.49,0.37,0.46,1
65,0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
66,0.68,0.49,1.0,0.5,0.62,0.55,0.28,7
67,0.65,0.57,0.48,0.5,0.47,0.47,0.51,8
68,0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
69,0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
70,0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
71,0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
72,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
73,0.86,0.55,0.48,0.5,0.63,0.81,0.83,5
74,0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
75,0.7,0.64,0.48,0.5,0.47,0.51,0.47,8
76,0.7,0.39,1.0,0.5,0.51,0.82,0.84,4
