,A1,A2,A3,A4,Class
0,16,12,3000,50,0
1,5,7,1750,26,1
2,2,2,500,4,0
3,2,1,250,2,1
4,14,4,1000,22,1
5,23,1,250,23,0
6,21,2,500,33,0
7,21,2,500,26,0
8,2,3,750,4,1
9,16,1,250,16,0
10,2,1,250,2,0
11,3,6,1500,21,0
12,4,5,1250,34,0
13,11,3,750,40,1
14,23,2,500,38,0
15,6,3,750,14,0
16,2,1,250,2,0
17,3,10,2500,33,1
18,11,6,1500,27,0
19,12,9,2250,60,0
20,4,2,500,13,0
21,4,1,250,4,0
22,16,2,500,27,0
23,12,13,3250,59,0
24,4,9,2250,55,0
25,2,1,250,2,0
26,11,5,1250,41,0
27,14,4,1000,26,0
28,14,1,250,14,0
29,1,16,4000,35,1
30,2,2,500,23,0
31,23,3,750,48,0
32,9,9,2250,38,0
33,4,9,2250,28,1
34,9,3,750,52,0
35,4,3,750,25,1
36,4,4,1000,4,1
37,4,2,500,4,0
38,11,3,750,23,0
39,4,7,1750,82,0
40,9,9,2250,16,0
41,11,2,500,11,0
42,14,16,4000,70,0
43,23,15,3750,57,0
44,2,2,500,2,0
45,21,1,250,21,0
46,21,1,250,21,0
47,14,1,250,14,0
48,2,4,1000,14,1
49,23,3,750,62,0
50,16,5,1250,40,1
51,2,6,1500,22,1
52,2,5,1250,26,0
53,2,4,1000,23,0
54,11,8,2000,48,0
55,4,12,3000,88,0
56,23,1,250,23,0
57,11,2,500,11,0
58,2,1,250,2,0
59,4,1,250,4,0
60,21,3,750,38,0
61,23,1,250,23,0
62,16,11,2750,40,0
63,23,2,500,28,0
64,2,11,2750,79,1
65,16,2,500,16,0
66,16,7,1750,87,1
67,7,5,1250,35,0
68,23,4,1000,87,0
69,2,12,3000,82,0
70,16,16,4000,77,0
71,2,4,1000,16,0
72,4,3,750,16,1
73,9,5,1250,19,0
74,11,6,1500,28,0
75,2,10,2500,52,0
76,14,18,4500,78,0
77,14,3,750,19,1
78,11,1,250,11,1
79,4,6,1500,38,1
80,23,2,500,23,0
81,74,1,250,74,0
82,21,2,500,23,0
83,4,2,500,9,1
84,7,9,2250,89,1
85,16,3,750,21,0
86,4,14,3500,40,0
87,9,3,750,14,0
88,2,6,1500,35,1
89,4,11,2750,95,0
90,9,2,500,16,1
91,2,3,750,22,0
92,14,1,250,14,0
93,2,7,1750,35,1
94,4,1,250,4,0
95,14,7,1750,73,0
96,14,1,250,14,0
97,22,1,250,22,1
98,21,1,250,21,0
99,4,6,1500,14,0
100,23,12,3000,86,0
101,14,6,1500,34,0
102,2,2,500,11,1
103,23,6,1500,45,0
104,4,7,1750,62,0
105,14,5,1250,74,0
106,23,3,750,28,0
107,14,4,1000,28,1
108,14,13,3250,57,0
109,23,1,250,23,0
110,11,2,500,11,0
111,11,10,2500,35,0
112,14,4,1000,26,0
113,4,2,500,46,0
114,16,2,500,26,0
115,2,1,250,2,0
116,0,13,3250,28,1
117,3,4,1000,29,1
118,5,24,6000,79,0
119,11,22,5500,98,0
120,14,3,750,33,0
121,20,14,3500,69,1
122,11,1,250,11,0
123,21,1,250,21,0
124,2,11,2750,28,0
125,7,5,1250,52,0
126,4,4,1000,4,0
127,3,5,1250,26,0
128,23,1,250,23,0
129,3,5,1250,12,1
130,11,3,750,14,0
131,21,1,250,21,0
132,14,3,750,26,0
133,16,1,250,16,0
134,8,10,2500,63,0
135,21,6,1500,86,0
136,14,5,1250,14,0
137,11,16,4000,89,0
138,14,5,1250,28,0
139,16,2,500,70,0
140,2,1,250,2,0
141,16,8,2000,28,0
142,2,4,1000,70,0
143,14,2,500,14,0
144,2,3,750,9,1
