,A1,A2,A3,A4,Class
0,4,2,500,9,1
1,14,2,500,14,0
2,22,1,250,22,1
3,11,4,1000,61,0
4,23,3,750,89,0
5,4,4,1000,14,1
6,3,5,1250,26,0
7,6,3,750,14,0
8,11,22,5500,98,0
9,11,3,750,76,0
10,2,12,3000,52,0
11,2,20,5000,45,1
12,2,2,500,22,0
13,3,21,5250,42,1
14,23,3,750,28,0
15,2,21,5250,52,1
16,4,1,250,4,0
17,16,1,250,16,0
18,20,14,3500,69,1
19,8,2,500,16,0
20,2,9,2250,36,0
21,23,1,250,23,0
22,4,4,1000,16,0
23,14,1,250,14,0
24,4,9,2250,26,1
25,14,16,4000,70,0
26,14,1,250,14,0
27,14,5,1250,64,0
28,11,1,250,11,0
29,16,2,500,27,0
30,2,1,250,2,0
31,2,2,500,41,0
32,23,1,250,23,0
33,2,6,1500,22,0
34,4,2,500,4,1
35,4,2,500,4,1
36,4,19,4750,69,1
37,14,4,1000,30,0
38,2,1,250,2,0
39,14,5,1250,50,0
40,4,1,250,4,0
41,14,4,1000,22,1
42,11,17,4250,79,1
43,4,1,250,4,0
44,4,1,250,4,1
45,10,8,2000,39,0
46,14,2,500,35,1
47,23,6,1500,70,0
48,4,10,2500,28,1
49,14,7,1750,47,0
50,2,2,500,33,0
51,16,10,2500,89,0
52,23,8,2000,64,0
53,14,3,750,31,0
54,2,2,500,10,1
55,2,1,250,2,0
56,4,6,1500,16,1
57,4,1,250,4,0
58,23,8,2000,69,0
59,2,6,1500,26,1
60,11,2,500,21,0
61,2,1,250,2,0
62,11,3,750,23,0
63,2,5,1250,63,0
64,2,6,1500,28,0
65,4,2,500,4,0
66,23,1,250,23,0
67,14,8,2000,50,1
68,4,1,250,4,0
69,4,5,1250,16,1
70,2,12,3000,82,0
71,23,1,250,23,1
72,4,8,2000,48,1
73,16,14,3500,83,0
74,2,7,1750,76,0
75,4,7,1750,82,0
76,21,1,250,21,0
77,8,10,2500,63,0
78,3,4,1000,29,1
79,2,1,250,2,1
80,11,2,500,11,0
81,2,2,500,11,0
82,4,33,8250,98,1
83,4,12,3000,34,1
84,2,6,1500,15,1
85,4,2,500,4,0
86,11,6,1500,26,0
87,4,6,1500,35,1
88,11,8,2000,41,1
89,4,9,2250,55,0
90,21,16,4000,64,0
91,23,3,750,48,0
92,21,4,1000,52,0
93,4,5,1250,16,1
94,4,2,500,30,0
95,16,3,750,35,0
96,2,13,3250,53,1
97,3,6,1500,21,0
98,4,6,1500,46,0
99,2,3,750,16,1
100,23,1,250,23,0
101,4,2,500,4,1
102,16,7,1750,93,0
103,4,3,750,16,0
104,4,1,250,4,0
105,23,2,500,26,0
106,2,2,500,4,0
107,4,2,500,52,0
108,39,1,250,39,0
109,14,18,4500,78,0
110,11,8,2000,52,1
111,23,4,1000,87,0
112,2,15,3750,64,0
113,21,1,250,21,0
114,16,1,250,16,0
115,4,2,500,51,1
