,A1,A2,A3,A4,Class
0,11,2,500,24,0
1,2,6,1500,22,0
2,38,1,250,38,0
3,4,8,2000,46,1
4,11,1,250,11,1
5,2,1,250,2,0
6,11,2,500,38,1
7,2,10,2500,49,0
8,10,5,1250,38,0
9,4,7,1750,58,0
10,16,6,1500,35,0
11,4,7,1750,25,0
12,4,1,250,4,0
13,11,5,1250,18,0
14,11,2,500,11,0
15,2,3,750,16,1
16,14,1,250,14,0
17,2,1,250,2,0
18,16,1,250,16,0
19,16,4,1000,23,0
20,0,8,2000,59,0
21,11,1,250,11,1
22,4,6,1500,47,0
23,6,22,5500,28,1
24,2,3,750,9,1
25,0,26,6500,76,1
26,2,1,250,2,0
27,2,5,1250,37,0
28,4,11,2750,61,0
29,11,12,3000,58,0
30,4,17,4250,71,1
31,23,1,250,23,0
32,2,2,500,4,0
33,23,4,1000,87,0
34,2,6,1500,16,1
35,1,14,3500,58,0
36,4,1,250,4,0
37,11,2,500,26,0
38,4,11,2750,78,0
39,2,6,1500,47,0
40,12,11,2750,23,0
41,26,5,1250,49,1
42,14,2,500,14,0
43,9,3,750,34,0
44,2,3,750,35,0
45,21,3,750,35,0
46,2,16,4000,81,0
47,4,1,250,4,0
48,14,1,250,14,0
49,4,10,2500,28,1
50,11,7,1750,29,0
51,23,1,250,23,0
52,2,1,250,2,1
53,4,4,1000,26,0
54,11,8,2000,52,1
55,14,1,250,14,0
56,2,6,1500,15,1
57,1,12,3000,35,0
58,4,7,1750,28,0
59,21,6,1500,48,0
60,11,1,250,11,0
61,4,2,500,59,0
62,14,7,1750,35,0
63,11,2,500,11,0
64,11,4,1000,59,0
65,2,2,500,23,0
66,2,6,1500,28,0
67,23,2,500,28,0
68,2,11,2750,28,0
69,9,2,500,16,1
70,4,9,2250,28,0
71,11,1,250,11,0
72,14,2,500,14,0
73,14,1,250,14,0
74,14,5,1250,14,0
75,9,3,750,52,0
76,4,2,500,23,0
77,2,15,3750,49,1
78,2,6,1500,75,0
79,16,14,3500,83,0
80,4,2,500,51,1
81,11,2,500,14,0
82,2,1,250,2,0
83,14,13,3250,57,0
84,2,2,500,2,0
85,23,2,500,23,0
86,2,11,2750,79,1
87,2,7,1750,14,1
88,16,4,1000,33,0
89,16,1,250,16,0
90,21,2,500,41,0
91,2,1,250,2,0
92,21,3,750,26,1
93,4,4,1000,34,1
94,2,7,1750,46,1
95,4,1,250,4,0
96,35,3,750,64,0
97,14,1,250,14,0
98,9,8,2000,38,1
99,8,2,500,16,0
100,11,22,5500,98,0
101,4,2,500,4,0
102,11,7,1750,37,0
103,23,1,250,23,0
104,9,9,2250,16,0
105,5,7,1750,26,1
106,14,1,250,14,0
107,16,11,2750,40,0
108,5,24,6000,79,0
109,1,16,4000,35,1
110,4,1,250,4,0
111,18,2,500,23,0
112,12,15,3750,71,0
113,23,4,1000,52,0
114,4,6,1500,39,0
115,2,13,3250,53,1
116,14,3,750,41,0
117,21,1,250,21,0
118,14,5,1250,64,0
119,2,11,2750,88,0
120,21,2,500,21,0
121,8,15,3750,77,0
122,2,11,2750,46,1
123,16,5,1250,60,0
124,21,1,250,21,0
125,23,1,250,23,0
126,8,8,2000,52,1
127,4,6,1500,38,1
128,4,5,1250,16,1
129,2,2,500,14,0
130,2,5,1250,16,0
131,4,1,250,4,0
132,3,4,1000,29,1
133,16,7,1750,64,0
134,16,6,1500,50,0
135,16,2,500,16,0
136,4,11,2750,64,1
137,21,2,500,23,0
138,2,6,1500,35,1
139,14,2,500,29,0
140,23,1,250,23,0
141,14,7,1750,72,0
142,11,4,1000,28,0
143,4,1,250,4,1
144,2,7,1750,58,1
145,2,1,250,2,0
146,4,4,1000,4,1
147,9,11,2750,49,1
148,4,5,1250,33,1
149,2,20,5000,45,1
150,14,8,2000,26,0
151,9,2,500,26,0
152,14,3,750,19,1
153,4,1,250,4,0
154,11,10,2500,35,0
155,2,43,10750,86,1
156,9,9,2250,45,0
157,12,13,3250,59,0
158,23,3,750,33,0
159,11,8,2000,41,1
160,2,2,500,4,0
