,A1,A2,A3,A4,Class
0,2,1,250,2,0
1,11,4,1000,59,0
2,2,41,10250,98,1
3,11,24,6000,64,0
4,4,6,1500,43,0
5,13,4,1000,21,0
6,2,11,2750,79,1
7,21,1,250,21,1
8,8,10,2500,63,0
9,2,44,11000,98,0
10,14,3,750,35,0
11,16,3,750,50,0
12,2,2,500,4,0
13,16,1,250,16,0
14,5,24,6000,79,0
15,2,1,250,2,0
16,16,1,250,16,0
17,10,5,1250,38,0
18,2,2,500,14,0
19,25,6,1500,50,0
20,14,5,1250,64,0
21,2,7,1750,58,1
22,10,4,1000,16,0
23,11,1,250,11,0
24,2,3,750,4,1
25,4,4,1000,16,0
26,4,6,1500,16,1
27,11,4,1000,61,0
28,2,6,1500,22,0
29,9,2,500,26,0
30,11,3,750,76,0
31,2,2,500,4,0
32,21,2,500,23,0
33,4,3,750,34,0
34,2,4,1000,26,0
35,4,1,250,4,0
36,23,1,250,23,0
37,4,8,2000,34,1
38,2,6,1500,41,1
39,1,13,3250,47,0
40,3,2,500,23,0
41,16,14,3500,83,0
42,2,1,250,2,0
43,2,12,3000,70,1
44,11,6,1500,41,0
45,4,23,5750,58,0
46,14,2,500,14,0
47,14,4,1000,30,0
48,4,2,500,31,0
49,11,4,1000,58,0
50,4,8,2000,40,1
51,2,34,8500,77,1
52,5,6,1500,28,0
53,14,6,1500,34,0
54,4,4,1000,26,0
55,16,4,1000,40,0
56,2,9,2250,36,0
57,23,12,3000,86,0
58,11,6,1500,58,0
59,11,1,250,11,0
60,14,3,750,83,0
61,14,1,250,14,0
62,11,1,250,11,1
63,2,11,2750,26,0
64,11,17,4250,79,1
65,23,2,500,23,0
66,11,9,2250,72,1
67,11,5,1250,38,0
68,9,3,750,34,0
69,11,1,250,11,0
70,4,5,1250,74,0
71,11,3,750,14,0
72,4,5,1250,11,1
73,11,5,1250,33,0
74,14,2,500,14,0
75,2,3,750,16,1
76,14,4,1000,64,0
77,23,2,500,28,0
78,2,8,2000,35,1
79,12,9,2250,60,0
80,21,2,500,23,0
81,21,2,500,21,1
82,11,2,500,52,0
83,16,8,2000,76,0
84,21,5,1250,60,0
85,11,8,2000,46,0
86,2,1,250,2,0
87,2,1,250,2,0
88,2,6,1500,28,1
