,A1,A2,A3,A4,A5,A6,A7,Class
0,0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
1,0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
2,0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
3,0.64,0.57,0.48,0.5,0.7,0.33,0.26,6
4,0.68,0.63,0.48,0.5,0.73,0.4,0.3,6
5,0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
6,0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
7,0.67,0.55,1.0,0.5,0.66,0.58,0.16,7
8,0.63,0.51,0.48,0.5,0.64,0.72,0.76,5
9,0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
10,0.75,0.84,0.48,0.5,0.35,0.52,0.33,8
11,0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
12,0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
13,0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
14,0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
15,0.7,0.39,1.0,0.5,0.51,0.82,0.84,4
16,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
17,0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
18,0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
19,0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
20,0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
21,0.75,0.55,1.0,1.0,0.4,0.47,0.3,4
22,0.63,0.65,0.48,0.5,0.39,0.44,0.35,8
23,0.64,0.78,0.48,0.5,0.5,0.36,0.38,8
24,0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
25,0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
26,0.63,0.8,0.48,0.5,0.46,0.31,0.29,8
27,0.7,0.71,0.48,0.5,0.42,0.84,0.85,8
28,0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
29,0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
30,0.69,0.65,0.48,0.5,0.63,0.48,0.41,8
31,0.68,0.49,1.0,0.5,0.62,0.55,0.28,7
32,0.68,0.82,0.48,0.5,0.38,0.65,0.56,8
33,0.62,0.42,0.48,0.5,0.58,0.79,0.81,5
34,0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
35,0.73,0.26,0.48,0.5,0.57,0.75,0.78,5
36,0.88,0.42,0.48,0.5,0.52,0.73,0.75,5
37,0.76,0.73,0.48,0.5,0.44,0.39,0.39,8
38,0.74,0.82,0.48,0.5,0.49,0.49,0.41,8
39,0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
40,0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
41,0.61,0.47,0.48,0.5,0.0,0.8,0.32,2
42,0.71,0.86,0.48,0.5,0.4,0.54,0.32,8
43,0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
44,0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
45,0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
46,0.84,0.54,0.48,0.5,0.75,0.92,0.7,5
47,0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
48,0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
49,0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
50,0.79,0.36,0.48,0.5,0.46,0.82,0.7,5
51,0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
52,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
53,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
54,0.69,0.66,0.48,0.5,0.41,0.5,0.25,8
55,0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
56,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
57,0.63,0.49,0.48,0.5,0.54,0.76,0.79,3
58,0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
59,0.69,0.59,0.48,0.5,0.46,0.44,0.52,8
60,0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
61,0.77,0.55,0.48,0.5,0.51,0.78,0.74,5
62,0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
63,0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
64,0.2,0.46,0.48,0.5,0.57,0.78,0.81,2
65,0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
66,0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
67,0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
68,0.77,0.57,1.0,0.5,0.37,0.54,0.01,7
69,0.74,0.9,0.48,0.5,0.57,0.53,0.29,6
70,0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
71,0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
72,0.75,0.37,0.48,0.5,0.64,0.7,0.74,5
73,0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
74,0.77,0.57,0.48,0.5,0.88,0.53,0.2,6
75,0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
76,0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
77,0.74,0.78,0.48,0.5,0.75,0.54,0.15,6
78,0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
79,0.48,0.49,0.48,0.5,0.52,0.77,0.71,2
80,0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
81,0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
82,0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
83,0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
84,0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
85,0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
86,0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
87,0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
88,0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
89,0.56,0.54,0.48,0.5,0.43,0.37,0.3,8
90,0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
91,0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
92,0.64,0.72,0.48,0.5,0.49,0.42,0.19,8
93,0.69,0.43,0.48,0.5,0.59,0.74,0.77,5
94,0.0,0.51,0.48,0.5,0.35,0.67,0.44,2
95,0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
96,0.66,0.86,0.48,0.5,0.34,0.41,0.36,8
97,0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
98,0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
99,0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
100,0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
101,0.71,0.52,0.48,0.5,0.64,1.0,0.99,2
102,0.81,0.53,0.48,0.5,0.57,0.87,0.88,5
103,0.76,0.71,0.48,0.5,0.5,0.71,0.75,5
104,0.59,0.61,0.48,0.5,0.42,0.42,0.37,8
105,0.74,0.47,0.48,0.5,0.5,0.57,0.42,8
106,0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
107,0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
108,0.66,0.71,0.48,0.5,0.41,0.5,0.35,8
109,0.78,0.33,0.48,0.5,0.57,0.77,0.79,5
110,0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
111,0.63,0.83,0.48,0.5,0.4,0.39,0.19,8
112,0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
113,0.0,0.38,0.48,0.5,0.42,0.48,0.55,1
114,0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
115,0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
116,0.69,0.67,0.48,0.5,0.3,0.39,0.24,8
117,0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
118,0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
119,0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
120,0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
121,0.64,0.66,0.48,0.5,0.41,0.39,0.2,8
122,0.66,0.48,0.48,0.5,0.54,0.7,0.74,5
123,0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
124,0.61,0.66,0.48,0.5,0.46,0.87,0.88,2
125,0.63,0.69,0.48,0.5,0.65,0.41,0.28,6
126,0.47,0.46,0.48,0.5,0.62,0.74,0.77,5
127,0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
128,0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
129,0.6,0.5,1.0,0.5,0.54,0.77,0.8,2
130,0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
131,0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
132,0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
133,0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
134,0.63,0.86,0.48,0.5,0.39,0.47,0.34,8
135,0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
136,0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
137,0.78,0.44,0.48,0.5,0.45,0.73,0.68,5
138,0.7,0.61,0.48,0.5,0.56,0.52,0.43,8
139,0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
140,0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
141,0.69,0.8,0.48,0.5,0.46,0.57,0.26,8
142,0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
143,0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
144,0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
145,0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
146,0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
147,0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
148,0.72,0.42,0.48,0.5,0.65,0.77,0.79,5
149,0.67,0.61,0.48,0.5,0.51,0.37,0.38,8
150,0.6,0.76,1.0,0.5,0.77,0.59,0.52,6
151,0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
152,0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
153,0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
154,0.49,0.61,1.0,0.5,0.56,0.71,0.74,5
155,0.79,0.41,0.48,0.5,0.66,0.81,0.83,5
156,0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
157,0.4,0.45,0.48,0.5,0.38,0.22,0.0,1
158,0.7,0.53,0.48,0.5,0.7,0.86,0.87,5
159,0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
160,0.64,0.81,0.48,0.5,0.37,0.39,0.44,8
161,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
162,0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
163,0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
164,0.75,0.76,0.48,0.5,0.83,0.57,0.3,6
165,0.65,0.57,0.48,0.5,0.47,0.47,0.51,8
166,0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
