,A1,A2,A3,A4,A5,A6,A7,Class
0,0.61,0.6,0.48,0.5,0.44,0.39,0.38,8
1,0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
2,0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
3,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
4,0.68,0.78,0.48,0.5,0.43,0.44,0.42,8
5,0.66,0.86,0.48,0.5,0.34,0.41,0.36,8
6,0.78,0.33,0.48,0.5,0.57,0.77,0.79,5
7,0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
8,0.74,0.82,0.48,0.5,0.49,0.49,0.41,8
9,0.67,0.37,0.48,0.5,0.54,0.64,0.68,5
10,0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
11,0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
12,0.64,0.78,0.48,0.5,0.5,0.36,0.38,8
13,0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
14,0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
15,0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
16,0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
17,0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
18,0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
19,0.71,0.71,0.48,0.5,0.4,0.54,0.39,8
20,0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
21,0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
22,0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
23,0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
24,0.79,0.54,0.48,0.5,0.5,0.66,0.68,5
25,0.71,0.57,0.48,0.5,0.48,0.35,0.32,8
26,0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
27,0.67,0.81,0.48,0.5,0.25,0.42,0.25,8
28,0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
29,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
