,A1,A2,A3,A4,Class
0,11,8,2000,46,0
1,21,1,250,21,0
2,1,7,1750,57,0
3,4,9,2250,28,1
4,11,1,250,11,0
5,4,8,2000,28,0
6,23,2,500,26,0
7,2,10,2500,52,0
8,4,9,2250,28,0
9,16,1,250,16,0
10,2,15,3750,64,0
11,16,7,1750,28,0
12,1,14,3500,95,0
13,16,2,500,70,0
14,22,1,250,22,1
15,14,1,250,14,0
16,21,16,4000,64,0
17,14,5,1250,64,0
18,4,5,1250,58,0
19,2,4,1000,14,1
20,4,6,1500,38,1
21,14,6,1500,51,0
22,4,1,250,4,0
23,2,1,250,2,1
24,21,1,250,21,0
25,21,2,500,21,0
26,4,3,750,28,0
27,4,5,1250,23,1
28,2,2,500,4,1
29,7,2,500,16,0
30,14,4,1000,28,1
31,16,15,3750,87,0
32,4,7,1750,52,0
33,4,3,750,34,0
34,11,2,500,21,0
35,4,7,1750,62,0
36,3,6,1500,21,0
37,4,1,250,4,0
38,21,1,250,21,0
39,2,12,3000,52,0
40,14,16,4000,70,0
41,14,8,2000,50,0
42,12,11,2750,39,0
43,4,9,2250,55,0
44,4,2,500,9,0
45,11,9,2250,72,1
46,16,14,3500,83,0
47,16,3,750,19,0
48,4,2,500,9,1
49,7,5,1250,52,0
50,23,14,3500,93,0
51,11,16,4000,89,0
52,2,3,750,16,1
53,4,2,500,4,0
54,16,6,1500,81,0
55,2,2,500,14,0
56,4,6,1500,35,0
57,13,3,750,16,0
58,11,2,500,24,0
59,2,1,250,2,0
60,18,8,2000,95,0
61,21,3,750,38,0
62,11,5,1250,35,0
63,21,1,250,21,1
64,21,2,500,35,0
65,4,5,1250,46,0
66,5,24,6000,79,0
67,4,1,250,4,1
68,6,3,750,26,0
69,4,10,2500,28,1
70,4,4,1000,46,0
71,2,2,500,33,0
72,4,8,2000,48,1
73,2,5,1250,37,0
74,2,6,1500,41,1
75,3,14,3500,35,0
76,14,2,500,14,0
77,14,4,1000,30,0
78,2,2,500,11,1
79,9,2,500,52,0
80,2,1,250,2,0
81,21,1,250,21,0
82,8,10,2500,63,0
83,21,3,750,26,1
84,9,3,750,52,0
85,2,3,750,77,0
86,4,1,250,4,0
87,4,8,2000,21,0
88,14,3,750,35,0
89,16,12,3000,50,0
90,2,3,750,9,1
91,2,2,500,22,0
92,15,16,4000,82,0
93,2,1,250,2,0
94,2,13,3250,76,1
95,2,1,250,2,0
96,14,1,250,14,0
97,2,1,250,2,0
98,23,1,250,23,0
99,4,5,1250,28,0
100,11,3,750,23,0
101,2,1,250,2,0
102,12,12,3000,58,0
103,2,1,250,2,1
104,4,2,500,46,0
105,2,44,11000,98,0
106,21,2,500,33,0
107,11,1,250,11,0
108,2,1,250,2,0
109,2,6,1500,28,0
110,23,2,500,23,0
111,4,1,250,4,0
112,12,9,2250,60,0
113,11,8,2000,48,0
114,16,6,1500,35,1
115,21,1,250,21,0
116,2,2,500,2,0
117,11,1,250,11,0
118,23,3,750,40,0
119,4,1,250,4,0
120,16,4,1000,33,0
121,14,5,1250,26,0
122,16,1,250,16,0
123,9,1,250,9,0
124,16,4,1000,58,0
125,10,4,1000,16,0
126,16,1,250,16,0
127,14,1,250,14,0
128,9,9,2250,38,0
129,23,1,250,23,0
130,5,46,11500,98,1
131,4,1,250,4,0
132,4,5,1250,16,1
133,21,3,750,35,0
134,74,1,250,74,0
135,23,1,250,23,0
136,11,2,500,14,0
137,26,5,1250,49,1
138,4,4,1000,18,0
139,11,5,1250,41,0
140,16,10,2500,62,0
141,2,2,500,4,0
142,4,2,500,4,0
143,11,9,2250,38,0
144,2,34,8500,77,1
145,4,1,250,4,0
146,2,5,1250,16,1
147,4,11,2750,64,1
148,11,4,1000,16,1
149,4,8,2000,26,1
150,4,1,250,4,0
151,4,5,1250,14,1
152,23,2,500,87,0
153,21,3,750,26,0
154,2,7,1750,76,0
155,3,21,5250,42,1
156,3,16,4000,74,0
157,14,8,2000,26,0
158,2,1,250,2,0
159,2,6,1500,26,0
160,9,1,250,9,0
161,14,4,1000,26,0
162,4,5,1250,33,1
163,14,1,250,14,0
164,2,3,750,22,0
165,11,4,1000,27,0
166,4,4,1000,16,0
167,2,13,3250,53,1
168,16,7,1750,39,0
169,7,9,2250,89,1
170,2,3,750,14,0
171,11,3,750,14,0
172,16,1,250,16,0
173,14,3,750,35,0
174,2,2,500,4,0
175,21,6,1500,86,0
176,2,2,500,2,0
177,4,1,250,4,1
178,1,16,4000,35,1
179,2,2,500,4,1
180,16,11,2750,40,0
181,2,14,3500,57,1
182,9,2,500,26,0
183,23,4,1000,53,0
184,23,12,3000,86,0
185,4,7,1750,52,0
186,2,1,250,2,1
187,2,11,2750,40,1
188,23,15,3750,57,0
189,16,1,250,16,0
190,4,7,1750,58,0
191,2,2,500,11,0
192,16,4,1000,28,0
193,4,5,1250,58,0
194,4,2,500,51,1
195,2,9,2250,36,0
196,4,5,1250,58,0
197,2,12,3000,95,0
198,21,3,750,38,0
199,9,4,1000,65,0
200,16,3,750,40,0
201,11,3,750,76,0
202,3,5,1250,38,0
203,4,12,3000,88,0
204,2,11,2750,88,0
205,16,6,1500,50,0
206,16,1,250,16,0
207,23,1,250,23,0
208,35,3,750,64,0
209,1,12,3000,35,0
210,4,6,1500,41,1
211,23,3,750,48,0
212,4,6,1500,14,0
213,14,2,500,14,0
214,23,1,250,23,0
215,11,5,1250,18,0
216,6,17,4250,70,0
217,2,11,2750,46,0
218,4,17,4250,71,1
219,5,11,2750,75,0
220,2,11,2750,46,1
221,11,2,500,11,0
222,23,8,2000,64,0
223,14,2,500,14,0
224,2,1,250,2,0
225,2,14,3500,48,1
226,2,1,250,2,0
227,21,1,250,21,0
228,14,1,250,14,0
229,16,1,250,16,0
230,2,6,1500,28,1
231,2,10,2500,64,0
232,2,4,1000,16,0
233,23,1,250,23,0
234,21,2,500,23,0
235,14,8,2000,46,0
236,2,12,3000,70,1
237,2,2,500,4,1
238,16,4,1000,28,0
239,6,22,5500,28,1
240,14,3,750,26,0
241,14,16,4000,98,0
242,9,5,1250,19,0
243,2,1,250,2,0
244,2,4,1000,16,0
245,11,4,1000,34,0
246,2,1,250,2,1
247,4,4,1000,4,0
248,2,2,500,11,1
249,2,1,250,2,0
250,21,1,250,21,0
251,2,2,500,11,0
252,11,14,3500,73,1
253,11,1,250,11,1
254,14,3,750,26,0
255,2,6,1500,22,0
256,23,1,250,23,1
257,2,3,750,19,0
258,14,3,750,28,0
259,23,3,750,28,0
260,14,1,250,14,0
261,2,2,500,14,0
262,4,1,250,4,1
263,16,5,1250,60,0
264,4,4,1000,14,1
265,2,11,2750,79,1
266,23,1,250,23,0
267,2,2,500,11,1
268,4,1,250,4,0
269,2,1,250,2,1
270,9,9,2250,54,0
271,2,1,250,2,0
272,4,1,250,4,0
273,2,8,2000,35,1
274,11,1,250,11,0
275,13,3,750,14,1
276,16,7,1750,93,0
277,21,1,250,21,0
278,4,1,250,4,0
279,11,8,2000,52,1
280,2,1,250,2,0
281,11,5,1250,37,1
282,21,2,500,23,0
283,7,10,2500,47,0
284,4,11,2750,95,0
285,4,1,250,4,1
286,11,1,250,11,0
287,14,3,750,33,0
288,2,11,2750,23,0
289,4,5,1250,16,1
290,16,4,1000,45,0
291,4,2,500,4,1
292,2,4,1000,70,0
293,2,2,500,4,0
294,4,3,750,71,0
295,4,11,2750,61,0
296,14,2,500,29,0
297,8,8,2000,52,1
298,4,4,1000,41,0
299,11,2,500,11,0
300,2,7,1750,58,1
301,3,1,250,3,1
302,5,6,1500,28,0
303,23,3,750,89,0
304,8,9,2250,64,0
305,11,5,1250,50,0
306,16,10,2500,89,0
307,14,6,1500,34,0
308,0,26,6500,76,1
309,21,1,250,21,0
310,4,5,1250,23,0
311,23,1,250,23,0
312,23,1,250,23,0
313,23,8,2000,69,0
314,2,3,750,24,0
315,2,4,1000,16,0
316,2,1,250,2,0
317,14,4,1000,22,1
318,2,6,1500,28,1
319,4,2,500,4,0
320,11,11,2750,42,0
321,9,3,750,34,0
322,11,4,1000,59,0
323,4,5,1250,58,0
324,21,7,1750,38,0
325,14,4,1000,38,0
326,23,2,500,23,0
327,4,10,2500,28,1
328,2,1,250,2,0
329,14,2,500,16,0
330,4,33,8250,98,1
331,2,12,3000,98,0
332,0,3,750,4,0
333,4,3,750,16,1
334,16,5,1250,27,0
335,2,2,500,41,0
336,2,7,1750,46,1
337,23,2,500,38,0
338,14,4,1000,40,0
339,14,1,250,14,0
340,16,3,750,23,0
341,14,4,1000,57,0
342,11,11,2750,38,0
343,4,5,1250,16,1
344,14,5,1250,28,1
345,2,3,750,4,1
346,21,3,750,64,0
347,2,4,1000,43,0
348,16,1,250,16,0
349,4,3,750,16,0
350,23,3,750,35,0
351,4,20,5000,69,1
352,2,1,250,2,0
353,14,1,250,14,0
354,16,1,250,16,0
355,1,10,2500,43,1
356,4,7,1750,25,0
357,14,7,1750,35,0
358,4,23,5750,58,0
359,16,8,2000,76,0
360,2,9,2250,75,0
361,2,6,1500,22,1
362,2,1,250,2,0
363,4,16,4000,98,1
364,11,3,750,28,0
365,2,5,1250,47,1
366,2,3,750,11,0
367,4,1,250,4,1
368,13,4,1000,21,0
369,21,1,250,21,0
370,2,5,1250,63,0
371,2,8,2000,28,1
372,11,7,1750,64,0
