,A1,A2,A3,A4,A5,A6,A7,Class
0,0.56,0.54,0.48,0.5,0.43,0.37,0.3,8
1,0.77,0.57,1.0,0.5,0.37,0.54,0.01,7
2,0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
3,0.63,0.57,0.48,0.5,0.49,0.7,0.2,8
4,0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
5,0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
6,0.66,0.74,0.48,0.5,0.31,0.38,0.43,8
7,0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
8,0.77,0.55,0.48,0.5,0.51,0.78,0.74,5
9,0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
10,0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
11,0.74,0.9,0.48,0.5,0.57,0.53,0.29,6
12,0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
13,0.58,0.6,0.48,0.5,0.59,0.73,0.76,5
14,0.47,0.46,0.48,0.5,0.62,0.74,0.77,5
15,0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
16,0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
17,0.71,0.86,0.48,0.5,0.4,0.54,0.32,8
18,0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
19,0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
20,0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
21,0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
22,0.56,0.51,0.48,0.5,0.34,0.37,0.46,1
23,0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
24,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
25,0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
26,0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
27,0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
28,0.68,0.63,0.48,0.5,0.73,0.4,0.3,6
29,0.64,0.84,0.48,0.5,0.37,0.45,0.4,8
30,0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
31,0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
32,0.68,0.82,0.48,0.5,0.38,0.65,0.56,8
