,A1,A2,A3,A4,Class
0,2,1,250,2,0
1,14,2,500,29,0
2,2,12,3000,95,0
3,2,6,1500,35,1
4,2,4,1000,35,0
5,23,1,250,23,1
6,16,15,3750,87,0
7,9,2,500,52,0
8,4,1,250,4,0
9,11,4,1000,61,0
10,4,20,5000,69,1
11,16,5,1250,27,0
12,13,7,1750,76,0
13,14,2,500,14,1
14,2,34,8500,77,1
15,2,1,250,2,1
16,2,2,500,4,1
17,8,9,2250,58,0
18,11,1,250,11,0
19,2,2,500,10,0
20,21,3,750,26,0
21,2,11,2750,79,1
22,11,5,1250,35,0
23,2,13,3250,76,1
24,21,1,250,21,0
25,11,1,250,11,0
26,3,16,4000,74,0
27,11,5,1250,33,0
28,2,1,250,2,1
29,2,1,250,2,0
30,2,1,250,2,0
31,21,3,750,38,0
32,2,2,500,4,0
33,8,15,3750,77,0
34,7,14,3500,48,0
35,21,1,250,21,0
36,14,1,250,14,0
37,5,46,11500,98,1
38,2,3,750,19,0
39,11,3,750,76,0
40,4,1,250,4,0
41,16,5,1250,71,0
42,16,4,1000,33,0
43,26,5,1250,49,1
44,2,11,2750,40,1
45,4,1,250,4,1
46,16,3,750,86,0
47,7,9,2250,89,1
48,9,3,750,14,0
49,11,4,1000,74,0
50,4,3,750,71,0
51,2,6,1500,22,0
52,23,4,1000,53,0
53,4,2,500,4,0
54,4,10,2500,28,1
55,23,38,9500,98,0
56,16,8,2000,28,0
57,2,20,5000,45,1
58,1,13,3250,47,0
59,14,2,500,14,0
60,2,1,250,2,0
61,4,6,1500,16,1
62,16,1,250,16,0
63,4,1,250,4,0
64,11,4,1000,34,0
65,23,2,500,26,0
66,4,2,500,9,0
67,2,3,750,52,0
68,2,3,750,24,0
69,14,3,750,26,0
70,11,14,3500,73,1
71,14,16,4000,98,0
72,11,8,2000,48,0
73,16,2,500,26,0
74,12,13,3250,59,0
75,14,1,250,14,0
76,2,6,1500,28,1
77,10,4,1000,16,0
78,2,2,500,22,0
79,2,4,1000,23,0
80,2,7,1750,29,0
81,14,6,1500,34,0
82,21,1,250,21,0
83,18,2,500,23,0
84,23,3,750,39,0
85,3,21,5250,42,1
86,16,4,1000,23,0
87,2,6,1500,16,1
88,11,8,2000,52,1
89,23,15,3750,57,0
90,14,2,500,21,1
91,23,1,250,23,0
92,4,6,1500,35,1
93,4,1,250,4,1
94,4,9,2250,28,0
95,3,14,3500,35,0
96,21,7,1750,38,0
97,16,1,250,16,0
98,4,9,2250,46,0
99,2,3,750,16,1
100,4,5,1250,33,1
101,4,8,2000,26,1
102,23,19,4750,62,0
103,13,8,2000,26,0
104,11,3,750,40,1
105,2,3,750,38,1
106,4,2,500,4,1
107,16,3,750,23,0
108,4,5,1250,23,0
109,0,13,3250,28,1
110,74,1,250,74,0
111,11,2,500,11,0
112,6,22,5500,28,1
113,4,5,1250,34,0
114,4,6,1500,14,0
115,13,3,750,16,0
116,0,26,6500,76,1
117,16,1,250,16,0
118,21,2,500,23,0
119,2,6,1500,26,1
120,15,16,4000,82,0
121,22,1,250,22,1
122,14,4,1000,22,1
123,4,7,1750,52,0
124,2,4,1000,16,0
125,4,1,250,4,0
126,7,5,1250,35,0
127,2,1,250,2,1
128,16,10,2500,62,0
129,4,9,2250,52,0
130,2,1,250,2,0
131,4,17,4250,71,1
132,16,1,250,16,0
133,4,1,250,4,0
134,14,3,750,33,0
135,4,1,250,4,0
136,4,5,1250,16,1
137,16,6,1500,35,1
138,23,1,250,23,0
139,14,3,750,52,0
140,4,5,1250,35,1
141,14,1,250,14,0
142,23,5,1250,33,0
143,16,7,1750,87,1
144,23,3,750,48,0
145,9,3,750,34,0
146,4,2,500,29,0
147,3,4,1000,29,1
148,2,4,1000,26,0
149,2,16,4000,81,0
150,2,1,250,2,0
151,2,13,3250,53,1
152,4,6,1500,46,0
153,4,7,1750,58,0
154,14,8,2000,50,0
155,2,1,250,2,0
156,2,2,500,41,0
157,38,1,250,38,0
158,11,5,1250,41,0
159,16,3,750,35,0
160,2,6,1500,28,0
161,6,3,750,14,0
162,16,6,1500,35,0
163,4,7,1750,22,1
164,2,1,250,2,0
165,40,1,250,40,0
166,4,2,500,31,0
167,10,8,2000,39,0
168,2,9,2250,74,0
169,2,5,1250,47,1
170,11,1,250,11,0
171,8,8,2000,52,1
172,3,17,4250,86,0
173,23,1,250,23,0
174,16,3,750,50,0
175,2,50,12500,98,1
176,4,3,750,28,0
177,2,12,3000,52,0
178,3,5,1250,38,0
179,7,2,500,16,0
180,2,6,1500,15,1
181,4,9,2250,28,1
182,23,4,1000,52,0
183,4,7,1750,82,0
184,1,16,4000,35,1
185,5,11,2750,75,0
186,11,6,1500,26,0
187,4,8,2000,46,1
188,16,11,2750,40,0
189,18,8,2000,95,0
190,4,2,500,52,0
191,4,4,1000,14,1
192,2,5,1250,37,0
193,4,6,1500,43,0
194,21,1,250,21,0
195,23,1,250,23,0
196,2,1,250,2,1
197,11,9,2250,38,0
198,2,4,1000,16,0
199,4,1,250,4,0
200,9,4,1000,65,0
201,21,3,750,35,0
202,6,2,500,11,1
203,1,14,3500,58,0
204,14,4,1000,64,0
205,14,3,750,21,0
206,14,2,500,16,0
207,4,6,1500,35,0
208,14,2,500,14,0
209,2,11,2750,88,0
210,13,4,1000,21,0
211,6,17,4250,70,0
212,2,5,1250,34,0
213,4,1,250,4,0
214,11,6,1500,71,0
215,21,3,750,26,1
216,14,3,750,79,0
217,16,4,1000,58,0
218,2,10,2500,64,0
219,2,1,250,2,0
220,21,1,250,21,0
221,11,2,500,52,0
222,11,6,1500,41,0
223,4,7,1750,25,0
224,2,3,750,4,1
225,4,11,2750,64,1
226,4,1,250,4,0
227,11,7,1750,62,1
228,4,9,2250,26,1
229,2,1,250,2,0
230,4,2,500,9,1
231,4,8,2000,40,1
232,2,4,1000,14,0
233,2,3,750,77,0
234,11,3,750,16,1
235,4,5,1250,28,0
236,11,16,4000,89,0
237,21,3,750,35,0
238,16,3,750,34,0
239,2,10,2500,28,1
240,23,4,1000,45,0
241,16,1,250,16,0
242,4,5,1250,16,1
243,2,7,1750,58,1
244,11,9,2250,72,1
245,14,4,1000,23,1
246,2,4,1000,26,0
247,2,15,3750,64,0
248,23,14,3500,93,0
249,16,4,1000,28,0
250,2,2,500,11,0
251,4,11,2750,78,0
252,2,8,2000,35,1
253,4,4,1000,26,1
254,14,3,750,19,1
255,2,2,500,11,0
256,14,1,250,14,0
257,16,14,3500,83,0
258,21,1,250,21,0
259,7,12,3000,86,0
260,14,1,250,14,0
261,21,2,500,21,0
262,16,1,250,16,0
263,16,7,1750,39,0
264,21,3,750,70,0
265,12,9,2250,60,0
266,4,2,500,46,0
267,16,1,250,16,0
268,2,8,2000,28,1
269,16,7,1750,64,0
270,23,2,500,28,0
271,4,2,500,14,0
272,16,1,250,16,0
273,4,6,1500,39,0
274,9,8,2000,38,1
275,14,1,250,14,0
276,16,3,750,40,0
277,6,3,750,26,0
278,11,3,750,14,0
279,11,4,1000,27,0
280,2,6,1500,47,0
281,9,2,500,16,1
282,2,1,250,2,0
283,2,6,1500,28,1
284,11,2,500,11,0
285,23,3,750,62,0
286,9,1,250,9,0
287,14,2,500,14,0
288,11,9,2250,33,0
289,11,5,1250,35,0
290,2,10,2500,52,0
291,21,1,250,21,0
292,23,8,2000,69,0
293,11,3,750,37,0
294,2,2,500,14,0
295,2,1,250,2,0
296,2,1,250,2,0
297,9,11,2750,49,1
298,4,1,250,4,0
299,21,2,500,35,0
300,16,1,250,16,0
301,14,3,750,31,0
302,11,4,1000,58,0
303,2,5,1250,16,0
304,23,2,500,23,0
305,11,1,250,11,0
306,4,7,1750,28,0
307,8,10,2500,63,0
308,11,7,1750,29,0
309,4,1,250,4,1
310,11,1,250,11,0
311,23,8,2000,64,0
312,14,1,250,14,0
313,23,2,500,38,0
314,2,14,3500,57,1
315,2,5,1250,33,1
316,4,19,4750,69,1
317,0,8,2000,59,0
318,11,6,1500,27,0
319,2,13,3250,32,1
320,4,5,1250,58,0
321,21,2,500,52,0
322,11,10,2500,35,0
323,17,7,1750,58,1
324,4,2,500,41,0
325,11,24,6000,64,0
326,23,1,250,23,0
327,2,9,2250,36,0
328,2,11,2750,46,0
329,2,1,250,2,0
330,2,2,500,23,0
331,16,1,250,16,0
332,21,1,250,21,0
333,2,15,3750,49,1
334,11,5,1250,38,0
335,2,4,1000,70,0
336,12,12,3000,58,0
337,10,5,1250,38,0
338,11,2,500,38,1
339,3,1,250,3,1
340,4,11,2750,28,0
341,2,1,250,2,1
342,4,5,1250,23,1
343,14,3,750,26,0
344,4,3,750,16,1
345,2,5,1250,26,0
346,4,2,500,23,0
347,2,2,500,11,1
348,11,1,250,11,0
349,2,1,250,2,0
350,4,1,250,4,0
351,2,4,1000,14,1
352,2,1,250,2,0
353,2,2,500,16,0
354,23,1,250,23,0
355,2,12,3000,82,0
356,2,7,1750,77,0
357,11,7,1750,75,0
358,4,1,250,4,0
359,16,1,250,16,0
360,9,2,500,52,0
361,21,1,250,21,0
362,4,2,500,30,0
363,14,1,250,14,0
364,2,12,3000,70,1
365,2,5,1250,63,0
366,9,9,2250,16,0
367,16,1,250,16,0
368,4,16,4000,38,1
369,4,7,1750,58,0
370,4,1,250,4,0
371,3,2,500,23,0
372,4,6,1500,30,0
