,A1,A2,A3,A4,Class
0,7,2,500,16,0
1,4,2,500,4,0
2,2,7,1750,32,1
3,9,1,250,9,0
4,11,7,1750,29,0
5,23,1,250,23,0
6,23,3,750,48,0
7,2,6,1500,28,1
8,2,6,1500,45,0
9,4,2,500,14,0
10,9,2,500,52,0
11,11,2,500,38,1
12,2,12,3000,95,0
13,14,1,250,14,0
14,10,4,1000,16,0
15,12,11,2750,23,0
16,23,1,250,23,0
17,14,7,1750,47,0
18,2,1,250,2,0
19,11,11,2750,38,0
20,26,5,1250,49,1
21,2,44,11000,98,0
22,16,1,250,16,0
23,2,1,250,2,0
24,4,1,250,4,0
25,7,9,2250,89,1
26,1,14,3500,95,0
27,2,2,500,14,0
28,2,3,750,22,0
29,14,13,3250,57,0
30,2,3,750,9,1
31,14,5,1250,28,0
32,2,5,1250,63,0
33,11,5,1250,41,0
34,2,6,1500,16,1
35,2,8,2000,28,1
36,4,2,500,4,0
37,11,2,500,14,0
38,2,4,1000,14,0
39,2,4,1000,16,0
40,21,1,250,21,0
41,21,2,500,33,0
42,11,1,250,11,0
43,2,1,250,2,1
44,11,4,1000,58,0
45,4,7,1750,82,0
46,2,4,1000,70,0
47,4,1,250,4,0
48,16,1,250,16,0
49,4,2,500,4,1
50,2,5,1250,16,1
51,2,1,250,2,0
52,23,1,250,23,0
53,1,13,3250,47,0
54,4,4,1000,4,0
55,4,6,1500,23,1
56,2,7,1750,76,0
57,2,10,2500,64,0
58,16,1,250,16,0
59,21,2,500,21,1
60,14,1,250,14,0
61,4,11,2750,28,0
62,14,4,1000,22,1
63,9,11,2750,49,1
64,2,7,1750,14,1
65,11,22,5500,98,0
66,11,4,1000,61,0
67,4,5,1250,16,1
68,11,8,2000,52,1
69,2,1,250,2,0
70,2,11,2750,28,0
71,2,6,1500,26,0
72,2,12,3000,52,0
73,11,2,500,17,0
74,2,7,1750,28,1
75,4,6,1500,35,0
76,16,2,500,26,0
77,16,3,750,19,0
78,16,2,500,27,0
79,11,2,500,16,0
80,2,2,500,4,1
81,4,8,2000,34,1
82,5,14,3500,86,0
83,4,1,250,4,0
84,9,4,1000,65,0
85,14,5,1250,74,0
86,4,1,250,4,0
87,11,4,1000,34,0
88,16,11,2750,40,0
89,6,3,750,14,0
90,16,3,750,46,0
91,4,1,250,4,0
92,21,3,750,64,0
93,2,10,2500,28,1
94,23,38,9500,98,0
95,21,3,750,35,0
96,2,3,750,16,1
97,2,2,500,4,0
98,23,2,500,26,0
99,2,1,250,2,0
100,6,3,750,26,0
101,4,2,500,51,1
102,23,1,250,23,0
103,2,6,1500,22,0
104,21,2,500,23,0
105,6,17,4250,70,0
106,14,2,500,16,0
107,16,3,750,23,0
108,4,1,250,4,0
109,13,3,750,16,0
110,16,7,1750,28,0
111,21,2,500,25,0
112,4,4,1000,14,1
113,2,4,1000,14,1
114,16,1,250,16,0
115,5,7,1750,26,1
116,16,5,1250,60,0
117,2,2,500,11,0
118,2,6,1500,22,1
119,4,1,250,4,0
120,3,5,1250,12,1
121,35,3,750,64,0
122,14,3,750,79,0
123,2,14,3500,48,1
