,A1,A2,A3,A4,A5,A6,A7,Class
0,0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
1,0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
2,0.75,0.76,0.48,0.5,0.83,0.57,0.3,6
3,0.69,0.66,0.48,0.5,0.41,0.5,0.25,8
4,0.64,0.57,0.48,0.5,0.7,0.33,0.26,6
5,0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
6,0.7,0.39,1.0,0.5,0.51,0.82,0.84,4
7,0.69,0.59,0.48,0.5,0.46,0.44,0.52,8
8,0.62,0.42,0.48,0.5,0.58,0.79,0.81,5
9,0.63,0.51,0.48,0.5,0.64,0.72,0.76,5
10,0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
11,0.78,0.33,0.48,0.5,0.57,0.77,0.79,5
12,0.77,0.55,0.48,0.5,0.51,0.78,0.74,5
13,0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
14,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
15,0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
16,0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
17,0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
18,0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
19,0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
20,0.84,0.54,0.48,0.5,0.75,0.92,0.7,5
21,0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
22,0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
23,0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
24,0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
25,0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
26,0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
27,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
28,0.63,0.42,0.48,0.5,0.48,0.77,0.8,5
29,0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
30,0.6,0.76,1.0,0.5,0.77,0.59,0.52,6
31,0.76,0.73,0.48,0.5,0.44,0.39,0.39,8
32,0.7,0.64,0.48,0.5,0.47,0.51,0.47,8
33,0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
34,0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
35,0.81,0.53,0.48,0.5,0.57,0.87,0.88,5
36,0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
37,0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
38,0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
39,0.56,0.4,0.48,0.5,0.49,0.37,0.46,1
40,0.73,0.78,0.48,0.5,0.58,0.51,0.31,8
41,0.61,0.47,0.48,0.5,0.0,0.8,0.32,2
42,0.45,0.4,0.48,0.5,0.61,0.74,0.77,2
43,0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
44,0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
45,0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
46,0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
47,0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
48,0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
49,0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
50,0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
51,0.12,0.43,0.48,0.5,0.63,0.7,0.74,2
52,0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
53,0.68,0.76,0.48,0.5,0.84,0.45,0.27,6
54,0.29,0.39,0.48,0.5,0.52,0.4,0.48,8
55,0.66,0.86,0.48,0.5,0.34,0.41,0.36,8
56,0.0,0.51,0.48,0.5,0.35,0.67,0.44,2
57,0.76,0.71,0.48,0.5,0.5,0.71,0.75,5
58,0.36,0.39,0.48,0.5,0.48,0.22,0.23,1
59,0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
60,0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
61,0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
62,0.64,0.84,0.48,0.5,0.37,0.45,0.4,8
63,0.59,0.61,0.48,0.5,0.42,0.42,0.37,8
64,0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
65,0.66,0.71,0.48,0.5,0.41,0.5,0.35,8
66,0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
67,0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
68,0.74,0.9,0.48,0.5,0.57,0.53,0.29,6
69,0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
70,0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
71,0.49,0.61,1.0,0.5,0.56,0.71,0.74,5
72,0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
73,0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
74,0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
75,0.66,0.48,0.48,0.5,0.54,0.7,0.74,5
76,0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
77,0.67,0.88,0.48,0.5,0.73,0.5,0.25,6
78,0.69,0.65,0.48,0.5,0.63,0.48,0.41,8
79,0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
80,0.74,0.47,0.48,0.5,0.5,0.57,0.42,8
81,0.77,0.57,0.48,0.5,0.88,0.53,0.2,6
82,0.33,0.56,0.48,0.5,0.33,0.78,0.8,2
83,0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
84,0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
85,0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
86,0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
87,0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
88,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
89,0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
90,0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
91,0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
92,0.67,0.61,0.48,0.5,0.51,0.37,0.38,8
93,0.78,0.68,0.48,0.5,0.83,0.4,0.29,6
94,0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
95,0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
96,0.63,0.49,0.48,0.5,0.79,0.45,0.28,6
97,0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
98,0.43,0.59,0.48,0.5,0.52,0.49,0.56,8
99,0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
100,0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
101,0.58,0.55,0.48,0.5,0.57,0.7,0.74,2
102,0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
103,0.74,0.7,0.48,0.5,0.66,0.65,0.69,2
104,0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
105,0.78,0.44,0.48,0.5,0.45,0.73,0.68,5
106,0.75,0.37,0.48,0.5,0.64,0.7,0.74,5
107,0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
108,0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
109,0.77,0.57,1.0,0.5,0.37,0.54,0.01,7
110,0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
111,0.67,0.81,0.48,0.5,0.25,0.42,0.25,8
112,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
113,0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
114,0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
