,A1,A2,A3,A4,Class
0,4,20,5000,69,1
1,1,12,3000,35,0
2,16,12,3000,50,0
3,11,2,500,11,0
4,2,5,1250,11,1
5,2,5,1250,16,0
6,4,8,2000,40,1
7,16,2,500,16,0
8,4,2,500,4,0
9,2,3,750,24,0
10,2,14,3500,48,1
11,14,3,750,31,0
12,14,6,1500,34,0
13,16,1,250,16,0
14,4,7,1750,62,0
15,4,2,500,31,0
16,4,5,1250,28,0
17,9,2,500,52,0
18,14,2,500,14,0
19,23,12,3000,86,0
20,23,1,250,23,1
21,23,6,1500,70,0
22,16,3,750,46,0
23,21,1,250,21,0
24,3,10,2500,33,1
25,21,3,750,64,0
26,14,4,1000,30,0
27,21,3,750,38,0
28,14,4,1000,57,0
29,2,6,1500,16,1
30,14,8,2000,26,0
31,2,3,750,11,0
32,16,5,1250,71,0
33,2,1,250,2,0
34,2,1,250,2,0
35,4,5,1250,23,1
36,4,5,1250,23,0
37,11,6,1500,58,0
38,4,5,1250,35,1
39,21,2,500,52,0
40,10,8,2000,39,0
41,2,1,250,2,0
42,14,4,1000,64,0
43,23,8,2000,46,0
44,2,2,500,11,0
45,4,1,250,4,1
46,16,1,250,16,0
47,12,12,3000,58,0
48,4,1,250,4,1
49,11,2,500,38,1
50,2,3,750,16,1
51,11,3,750,76,0
52,2,11,2750,79,1
53,14,4,1000,38,0
54,4,6,1500,39,0
55,2,5,1250,16,1
56,11,8,2000,72,0
57,14,3,750,35,0
58,23,1,250,23,0
59,2,4,1000,16,0
60,2,12,3000,95,0
61,11,1,250,11,0
62,2,4,1000,14,1
63,4,1,250,4,0
64,21,3,750,38,0
65,11,3,750,15,0
66,14,4,1000,22,1
67,2,7,1750,14,1
68,4,9,2250,52,0
69,2,2,500,4,1
70,14,2,500,14,0
71,14,5,1250,28,0
72,2,5,1250,63,0
73,2,4,1000,35,0
74,12,9,2250,60,0
75,3,5,1250,12,1
76,2,12,3000,82,0
77,2,13,3250,32,1
78,14,16,4000,98,0
79,16,10,2500,89,0
80,2,12,3000,52,0
81,7,12,3000,86,0
82,8,9,2250,64,0
83,14,3,750,26,0
84,11,11,2750,38,0
85,11,5,1250,50,0
86,23,2,500,87,0
87,4,8,2000,46,1
88,3,4,1000,29,1
89,23,1,250,23,0
90,14,7,1750,72,0
91,23,3,750,41,0
92,16,1,250,16,0
93,2,3,750,35,0
94,4,8,2000,21,0
95,4,2,500,59,0
96,2,5,1250,16,1
97,14,2,500,14,0
98,2,1,250,2,0
99,4,6,1500,35,0
100,11,3,750,14,0
101,1,16,4000,35,1
102,2,10,2500,52,0
103,2,4,1000,26,0
104,2,3,750,77,0
105,4,1,250,4,0
106,4,4,1000,18,0
107,4,6,1500,35,0
108,9,9,2250,45,0
109,4,2,500,23,0
110,11,2,500,24,0
111,23,15,3750,57,0
112,2,3,750,4,1
113,16,6,1500,35,0
114,4,9,2250,40,0
115,14,2,500,16,0
116,14,7,1750,26,0
117,16,6,1500,40,0
118,4,2,500,52,0
119,2,4,1000,16,0
120,2,16,4000,64,0
121,2,1,250,2,0
122,21,3,750,26,0
123,4,1,250,4,1
124,3,2,500,23,0
125,16,1,250,16,0
126,14,4,1000,40,0
127,4,23,5750,58,0
128,16,11,2750,40,0
129,2,13,3250,53,1
130,4,1,250,4,0
131,21,3,750,35,0
132,2,13,3250,76,1
133,23,7,1750,88,0
134,16,3,750,21,0
135,2,15,3750,64,0
136,3,21,5250,42,1
137,14,2,500,14,1
138,2,4,1000,35,0
139,11,7,1750,37,0
140,7,5,1250,35,0
141,7,10,2500,47,0
142,21,1,250,21,1
143,4,1,250,4,0
144,21,2,500,23,0
145,11,1,250,11,0
146,4,6,1500,14,0
147,7,5,1250,52,0
148,2,6,1500,22,1
149,9,1,250,9,0
150,9,3,750,52,0
151,4,7,1750,58,0
152,16,1,250,16,0
153,16,1,250,16,0
154,16,6,1500,50,0
155,11,3,750,76,0
156,4,1,250,4,0
157,4,6,1500,35,1
158,4,2,500,46,0
159,4,7,1750,28,0
160,4,2,500,13,0
161,21,2,500,21,1
162,23,1,250,23,0
163,14,4,1000,28,1
164,2,11,2750,46,0
165,13,7,1750,76,0
166,4,6,1500,30,0
167,2,14,3500,57,1
168,9,1,250,9,0
169,2,7,1750,77,0
170,16,5,1250,60,0
171,2,8,2000,28,1
172,16,16,4000,77,0
173,2,3,750,75,1
174,5,11,2750,75,0
175,4,1,250,4,0
176,14,1,250,14,0
177,4,7,1750,52,0
178,4,9,2250,28,0
179,16,1,250,16,0
180,4,5,1250,46,0
181,14,5,1250,50,0
182,23,1,250,23,0
183,5,6,1500,28,0
184,4,5,1250,11,1
185,2,1,250,2,1
186,2,20,5000,45,1
187,7,9,2250,89,1
188,21,3,750,35,0
189,11,5,1250,37,1
190,4,6,1500,38,1
191,2,50,12500,98,1
192,2,1,250,2,0
193,2,6,1500,35,1
194,2,2,500,11,0
195,12,15,3750,71,0
196,21,2,500,35,0
197,14,5,1250,74,0
198,4,4,1000,46,0
199,23,1,250,23,0
200,9,4,1000,65,0
201,1,14,3500,58,0
202,4,5,1250,16,1
203,2,7,1750,28,1
204,14,5,1250,28,1
205,2,2,500,2,0
206,14,3,750,33,0
207,4,11,2750,28,0
208,14,2,500,14,0
209,14,2,500,35,0
210,11,9,2250,33,0
211,4,5,1250,58,0
212,23,6,1500,45,0
213,16,3,750,21,1
214,2,6,1500,16,1
215,2,6,1500,26,1
216,4,4,1000,34,1
217,14,4,1000,23,1
218,2,1,250,2,0
219,13,4,1000,21,0
220,4,8,2000,34,1
221,14,3,750,21,0
222,3,5,1250,38,0
223,2,1,250,2,0
