,A1,A2,A3,A4,Class
0,0,26,6500,76,1
1,11,1,250,11,0
2,21,13,3250,57,0
3,16,4,1000,33,0
4,23,15,3750,57,0
5,2,6,1500,35,1
6,6,3,750,14,0
7,9,8,2000,38,1
8,2,1,250,2,0
9,2,3,750,75,1
10,14,1,250,14,0
11,2,6,1500,22,0
12,23,3,750,33,0
13,4,16,4000,38,1
14,4,6,1500,35,0
15,4,4,1000,41,0
16,4,2,500,9,1
17,23,6,1500,45,0
18,4,2,500,4,0
19,21,4,1000,52,0
20,2,13,3250,76,1
21,8,8,2000,52,1
22,4,2,500,13,0
23,10,5,1250,38,0
24,4,6,1500,41,1
25,7,9,2250,89,1
26,2,6,1500,28,1
27,2,1,250,2,0
28,11,4,1000,16,1
29,2,1,250,2,1
30,23,12,3000,86,0
31,4,7,1750,58,0
32,14,7,1750,35,0
33,2,4,1000,26,0
34,9,2,500,26,0
35,4,1,250,4,1
36,23,1,250,23,1
37,21,2,500,25,0
38,11,22,5500,98,0
39,4,6,1500,23,1
40,9,1,250,9,0
41,2,10,2500,28,1
42,2,11,2750,26,0
43,1,7,1750,57,0
44,4,5,1250,16,1
45,16,10,2500,62,0
46,23,1,250,23,0
47,23,4,1000,45,0
48,14,6,1500,34,0
49,2,7,1750,58,1
50,4,4,1000,46,0
51,4,5,1250,58,0
52,3,5,1250,38,0
53,4,2,500,31,0
54,16,5,1250,27,0
55,2,1,250,2,0
56,2,15,3750,64,0
57,23,8,2000,46,0
58,14,4,1000,26,0
59,4,5,1250,23,1
60,2,4,1000,16,0
61,4,11,2750,64,1
62,4,2,500,4,0
63,4,2,500,4,0
64,4,7,1750,32,1
65,21,3,750,35,0
66,16,11,2750,40,0
67,2,5,1250,16,0
68,16,7,1750,93,0
69,4,1,250,4,0
70,16,3,750,21,0
71,11,2,500,70,0
72,14,5,1250,26,0
73,4,5,1250,58,0
74,14,13,3250,57,0
75,14,1,250,14,0
76,2,7,1750,14,1
77,21,3,750,40,0
78,0,2,500,4,0
79,2,4,1000,16,1
80,11,3,750,16,1
81,2,1,250,2,0
82,2,3,750,24,0
83,14,8,2000,26,0
84,4,5,1250,28,0
85,14,1,250,14,0
86,2,44,11000,98,0
87,14,3,750,83,0
88,4,7,1750,82,0
89,14,3,750,19,1
90,11,1,250,11,0
91,21,1,250,21,0
92,2,4,1000,11,0
93,4,2,500,41,0
94,3,10,2500,33,1
95,13,3,750,14,1
96,14,3,750,31,0
97,2,1,250,2,0
98,14,8,2000,50,1
99,16,1,250,16,0
100,23,2,500,28,0
101,16,1,250,16,0
102,14,3,750,41,0
103,2,4,1000,35,0
104,14,2,500,16,0
105,14,1,250,14,0
106,9,9,2250,45,0
107,11,4,1000,27,0
108,2,1,250,2,0
109,2,1,250,2,1
110,11,3,750,37,0
111,9,4,1000,65,0
112,4,1,250,4,0
113,7,5,1250,35,0
114,2,3,750,4,1
115,2,3,750,77,0
116,4,6,1500,46,0
117,2,5,1250,16,0
118,2,5,1250,26,0
119,3,1,250,3,1
120,4,6,1500,35,0
121,14,4,1000,22,1
122,2,43,10750,86,1
123,21,2,500,21,0
124,21,6,1500,48,0
125,4,5,1250,23,0
126,2,1,250,2,0
127,2,5,1250,11,1
128,8,9,2250,64,0
129,16,6,1500,35,1
130,4,2,500,4,0
131,23,2,500,23,0
132,21,1,250,21,0
133,4,1,250,4,1
134,40,1,250,40,0
135,11,3,750,76,0
136,2,6,1500,22,1
137,2,5,1250,33,1
138,4,4,1000,16,0
139,16,15,3750,87,0
140,2,12,3000,47,1
141,2,11,2750,28,0
142,13,7,1750,76,0
143,4,1,250,4,0
144,1,14,3500,95,0
145,3,16,4000,74,0
146,4,7,1750,22,1
147,11,1,250,11,0
148,4,20,5000,69,1
149,16,2,500,27,0
150,16,5,1250,60,0
151,2,21,5250,52,1
152,11,2,500,24,0
153,4,12,3000,34,1
154,16,2,500,70,0
155,16,3,750,34,0
156,4,1,250,4,1
157,2,4,1000,23,0
158,23,1,250,23,0
159,2,3,750,19,0
160,4,7,1750,52,0
161,14,1,250,14,0
162,16,7,1750,64,0
163,4,1,250,4,0
164,4,9,2250,40,0
165,5,6,1500,28,0
166,2,5,1250,34,0
167,16,1,250,16,0
168,12,13,3250,59,0
169,11,7,1750,64,0
170,4,6,1500,35,1
171,14,3,750,52,0
172,4,2,500,4,0
173,4,2,500,29,0
174,5,24,6000,79,0
175,21,3,750,70,0
176,4,7,1750,52,0
177,11,3,750,23,0
178,4,9,2250,28,1
179,21,3,750,26,1
180,4,10,2500,28,1
181,11,1,250,11,0
182,14,3,750,28,0
183,4,4,1000,34,1
184,4,6,1500,47,0
185,2,10,2500,49,0
186,21,3,750,26,0
187,4,14,3500,86,0
188,2,12,3000,82,0
189,11,5,1250,37,1
190,16,1,250,16,0
191,2,1,250,2,0
192,1,12,3000,35,0
193,16,3,750,86,0
194,2,1,250,2,0
195,4,6,1500,14,0
196,3,6,1500,21,0
197,16,2,500,26,0
198,23,4,1000,53,0
199,2,3,750,52,0
200,14,5,1250,14,0
201,11,2,500,11,0
202,2,2,500,4,1
203,4,2,500,46,0
204,2,8,2000,38,1
205,23,4,1000,52,0
206,2,5,1250,47,1
207,4,4,1000,14,1
208,11,17,4250,79,1
209,2,4,1000,14,0
210,4,5,1250,26,1
211,21,2,500,26,0
212,11,7,1750,37,0
213,16,12,3000,50,0
214,21,1,250,21,0
215,2,6,1500,16,1
216,4,8,2000,28,0
217,2,41,10250,98,1
218,13,8,2000,26,0
219,18,2,500,23,0
220,2,1,250,2,0
221,2,2,500,10,0
222,11,3,750,23,0
223,5,46,11500,98,1
224,11,9,2250,72,1
225,2,15,3750,49,1
226,2,11,2750,79,1
227,2,7,1750,28,1
228,4,2,500,14,0
229,9,2,500,11,0
230,3,5,1250,12,1
231,4,5,1250,58,0
