,A1,A2,A3,A4,Class
0,2,2,500,16,0
1,4,4,1000,18,0
2,11,5,1250,33,0
3,21,2,500,23,0
4,0,13,3250,28,1
5,2,16,4000,64,0
6,23,1,250,23,0
7,21,2,500,21,0
8,16,1,250,16,0
9,4,5,1250,35,1
10,11,5,1250,35,0
11,21,1,250,21,0
12,14,4,1000,64,0
13,4,7,1750,58,0
14,6,3,750,14,0
15,4,10,2500,28,1
16,2,1,250,2,0
17,2,12,3000,70,1
18,4,11,2750,28,0
19,13,8,2000,26,0
20,11,3,750,28,0
21,2,5,1250,16,1
22,9,2,500,16,1
23,4,7,1750,32,1
24,4,5,1250,16,1
25,2,9,2250,75,0
26,4,4,1000,34,1
27,21,3,750,40,0
28,23,1,250,23,0
29,21,3,750,38,0
30,23,2,500,28,0
31,4,3,750,28,0
32,23,1,250,23,0
33,2,3,750,22,0
34,4,6,1500,16,1
35,2,6,1500,75,0
36,2,6,1500,35,1
37,12,9,2250,60,0
38,16,2,500,70,0
39,21,1,250,21,0
40,3,6,1500,21,0
41,11,9,2250,33,0
42,7,11,2750,89,0
43,21,16,4000,64,0
44,23,8,2000,46,0
45,4,1,250,4,0
46,11,5,1250,37,1
47,16,5,1250,71,0
48,11,4,1000,61,0
49,2,11,2750,46,0
50,16,1,250,16,0
51,11,6,1500,28,0
52,2,3,750,4,1
53,21,1,250,21,0
54,2,1,250,2,0
55,2,21,5250,52,1
56,11,5,1250,50,0
57,14,7,1750,45,0
58,16,16,4000,77,0
59,4,7,1750,52,0
60,4,2,500,4,0
61,4,5,1250,74,0
62,16,3,750,34,0
63,4,1,250,4,0
64,21,1,250,21,0
65,2,4,1000,14,1
66,1,7,1750,57,0
67,16,6,1500,81,0
68,8,10,2500,63,0
69,14,2,500,14,1
70,4,33,8250,98,1
71,4,6,1500,43,0
72,14,1,250,14,0
73,11,1,250,11,1
74,4,1,250,4,0
75,11,7,1750,75,0
76,14,7,1750,72,0
77,4,4,1000,16,0
78,13,4,1000,21,0
79,4,1,250,4,0
80,2,6,1500,22,1
81,4,4,1000,26,1
82,21,2,500,21,1
83,11,9,2250,72,1
84,8,9,2250,64,0
85,2,1,250,2,0
86,11,1,250,11,0
87,2,5,1250,34,0
88,4,2,500,4,1
89,9,9,2250,45,0
90,16,1,250,16,0
91,23,6,1500,45,0
92,11,11,2750,38,0
93,6,17,4250,70,0
94,4,7,1750,58,0
95,11,2,500,25,0
96,4,2,500,52,0
97,16,1,250,16,0
98,23,2,500,23,0
99,4,7,1750,62,0
100,14,3,750,26,0
101,2,11,2750,40,1
102,14,3,750,35,0
103,16,1,250,16,0
104,2,4,1000,11,0
105,21,1,250,21,0
106,2,12,3000,82,0
107,14,1,250,14,0
108,7,5,1250,52,0
109,2,1,250,2,0
110,9,3,750,52,0
111,17,7,1750,58,1
112,11,7,1750,62,1
113,7,12,3000,86,0
114,23,8,2000,69,0
115,4,23,5750,58,0
116,2,6,1500,28,1
117,14,4,1000,38,0
118,39,1,250,39,0
119,21,3,750,35,0
120,9,5,1250,51,1
121,4,6,1500,39,0
122,9,2,500,52,0
123,2,9,2250,22,1
124,11,2,500,11,0
125,14,6,1500,51,0
126,11,2,500,21,0
127,18,2,500,23,0
128,2,3,750,14,0
129,3,1,250,3,1
130,2,11,2750,23,0
131,2,5,1250,26,0
132,4,7,1750,28,0
133,4,13,3250,39,1
134,14,3,750,28,0
135,4,16,4000,98,1
136,2,2,500,11,0
137,4,1,250,4,0
138,4,2,500,4,0
139,2,1,250,2,0
140,11,7,1750,37,0
141,16,1,250,16,0
142,21,1,250,21,0
143,16,7,1750,87,1
144,4,7,1750,22,1
145,23,2,500,26,0
146,4,14,3500,86,0
147,4,8,2000,34,1
148,9,1,250,9,0
149,4,12,3000,34,1
150,2,7,1750,29,0
151,2,4,1000,35,0
152,14,2,500,14,0
153,16,2,500,27,0
154,16,1,250,16,0
155,0,26,6500,76,1
156,16,10,2500,89,0
157,14,7,1750,73,0
158,4,6,1500,35,1
159,23,12,3000,86,0
160,16,3,750,19,0
161,23,1,250,23,0
162,11,1,250,11,0
163,4,6,1500,14,0
164,2,6,1500,22,0
165,2,5,1250,16,1
166,14,1,250,14,0
167,4,1,250,4,0
168,3,4,1000,29,1
169,2,2,500,14,0
170,12,15,3750,71,0
171,2,2,500,14,0
172,4,20,5000,69,1
173,14,5,1250,28,0
174,14,1,250,14,0
175,11,7,1750,64,0
176,14,7,1750,26,0
177,16,1,250,16,0
178,23,3,750,28,0
179,12,12,3000,58,0
180,12,11,2750,23,0
181,5,11,2750,75,0
182,21,3,750,26,1
183,2,13,3250,53,1
184,14,1,250,14,0
185,2,9,2250,36,0
186,2,1,250,2,1
187,4,11,2750,78,0
188,4,2,500,4,0
189,2,1,250,2,1
190,16,5,1250,27,0
191,21,6,1500,86,0
192,4,11,2750,64,1
193,38,1,250,38,0
194,4,2,500,4,0
195,4,9,2250,28,1
196,2,1,250,2,0
197,4,8,2000,46,1
198,14,4,1000,26,0
199,16,2,500,16,0
200,4,6,1500,38,1
201,23,3,750,62,0
202,2,1,250,2,0
203,2,5,1250,11,1
204,4,1,250,4,0
205,15,5,1250,33,0
206,2,6,1500,28,0
207,16,7,1750,64,0
208,2,2,500,2,0
209,14,1,250,14,0
210,14,8,2000,50,1
211,2,2,500,41,0
212,23,4,1000,53,0
213,7,2,500,16,0
214,7,5,1250,35,0
215,2,11,2750,28,0
216,13,3,750,14,1
217,1,10,2500,43,1
218,12,11,2750,39,0
219,2,5,1250,16,0
220,11,10,2500,35,0
221,21,3,750,38,0
222,3,5,1250,12,1
223,11,1,250,11,0
224,4,5,1250,16,1
225,2,4,1000,23,0
