,A1,A2,A3,A4,A5,A6,A7,Class
0,0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
1,0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
2,0.61,0.6,0.48,0.5,0.44,0.39,0.38,8
3,0.68,0.49,1.0,0.5,0.62,0.55,0.28,7
4,0.72,0.42,0.48,0.5,0.65,0.77,0.79,5
5,0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
6,0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
7,0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
8,0.63,0.65,0.48,0.5,0.39,0.44,0.35,8
9,0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
10,0.75,0.84,0.48,0.5,0.35,0.52,0.33,8
11,0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
12,0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
13,0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
14,0.62,0.78,0.48,0.5,0.47,0.49,0.54,8
15,0.71,0.86,0.48,0.5,0.4,0.54,0.32,8
16,0.67,0.81,0.48,0.5,0.25,0.42,0.25,8
17,0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
18,0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
19,0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
20,0.29,0.39,0.48,0.5,0.52,0.4,0.48,8
21,0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
22,0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
23,0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
24,0.64,0.57,0.48,0.5,0.7,0.33,0.26,6
25,0.5,0.57,0.48,0.5,0.71,0.61,0.66,2
26,0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
27,0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
28,0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
29,0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
30,0.48,0.41,0.48,0.5,0.51,0.9,0.88,2
31,0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
32,0.81,0.53,0.48,0.5,0.57,0.87,0.88,5
33,0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
34,0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
35,0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
36,0.67,0.81,0.48,0.5,0.54,0.49,0.23,8
37,0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
38,0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
39,0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
40,0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
41,0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
42,0.66,0.71,0.48,0.5,0.41,0.5,0.35,8
43,0.73,0.26,0.48,0.5,0.57,0.75,0.78,5
44,0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
45,0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
46,0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
47,0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
48,0.58,0.6,0.48,0.5,0.59,0.73,0.76,5
49,0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
50,0.83,0.48,0.48,0.5,0.65,0.76,0.79,5
51,0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
52,0.69,0.43,0.48,0.5,0.59,0.74,0.77,5
53,0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
54,0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
55,0.86,0.55,0.48,0.5,0.63,0.81,0.83,5
56,0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
57,0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
58,0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
59,0.66,0.86,0.48,0.5,0.34,0.41,0.36,8
60,0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
61,0.78,0.68,0.48,0.5,0.83,0.4,0.29,6
62,0.69,0.65,0.48,0.5,0.63,0.48,0.41,8
63,0.74,0.47,0.48,0.5,0.5,0.57,0.42,8
64,0.69,0.59,0.48,0.5,0.46,0.44,0.52,8
65,0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
66,0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
67,0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
68,0.64,0.84,0.48,0.5,0.37,0.45,0.4,8
69,0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
70,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
71,0.75,0.37,0.48,0.5,0.64,0.7,0.74,5
72,0.68,0.82,0.48,0.5,0.38,0.65,0.56,8
73,0.57,0.38,0.48,0.5,0.06,0.49,0.33,5
74,0.67,0.37,0.48,0.5,0.54,0.64,0.68,5
75,0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
76,0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
77,0.0,0.51,0.48,0.5,0.35,0.67,0.44,2
78,0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
79,0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
80,0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
81,0.21,0.34,0.48,0.5,0.51,0.28,0.39,1
82,0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
83,0.66,0.74,0.48,0.5,0.31,0.38,0.43,8
84,0.64,0.66,0.48,0.5,0.41,0.39,0.2,8
85,0.63,0.47,0.48,0.5,0.51,0.82,0.84,2
86,0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
87,0.61,0.75,0.48,0.5,0.51,0.33,0.33,6
88,0.48,0.49,0.48,0.5,0.52,0.77,0.71,2
89,0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
90,0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
91,0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
92,0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
93,0.33,0.45,0.48,0.5,0.45,0.88,0.89,2
94,0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
95,0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
