,A1,A2,A3,A4,A5,A6,A7,Class
0,0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
1,0.3,0.51,0.48,0.5,0.42,0.61,0.34,2
2,0.71,0.71,0.48,0.5,0.4,0.54,0.39,8
3,0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
4,0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
5,0.47,0.46,0.48,0.5,0.62,0.74,0.77,5
6,0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
7,0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
8,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
9,0.11,0.5,0.48,0.5,0.58,0.72,0.68,2
10,0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
11,0.64,0.81,0.48,0.5,0.37,0.39,0.44,8
12,0.64,0.46,0.48,0.5,0.48,0.73,0.76,5
13,0.72,0.86,0.48,0.5,0.17,0.55,0.21,8
14,0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
15,0.63,0.42,0.48,0.5,0.48,0.77,0.8,5
16,0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
17,0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
18,0.81,0.53,0.48,0.5,0.57,0.87,0.88,5
19,0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
20,0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
21,0.79,0.36,0.48,0.5,0.46,0.82,0.7,5
22,0.84,0.44,0.48,0.5,0.48,0.71,0.74,2
23,0.73,0.26,0.48,0.5,0.57,0.75,0.78,5
24,0.43,0.59,0.48,0.5,0.52,0.49,0.56,8
25,0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
26,0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
27,0.51,0.4,0.48,0.5,0.57,0.62,0.67,2
28,0.73,0.78,0.48,0.5,0.58,0.51,0.31,8
29,0.74,0.49,0.48,0.5,0.42,0.54,0.36,8
30,0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
