,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,Class
0,0.8475600000000001,0.778308,-0.14995799999999998,-0.149981,-0.416083,-0.36108,-0.169836,-0.48577700000000007,-0.704831,-0.621495,1.794645,1.50851,-1.50851,-0.375292,1.9800490000000002,-0.764129,1.425598,-0.563501,1.145204,1.04358,-1.306792,-0.294084,0.21145799999999998,-0.162905,-0.376242,-0.750663,-1.093775,6
1,1.219629,1.171973,-0.48149899999999995,-0.48134899999999997,0.39332,0.06764400000000001,0.5529109999999999,0.35596500000000003,-0.704831,-0.45493,1.771322,1.50851,-1.50851,0.025281,1.2095120000000001,0.283937,-2.036304,-0.45809700000000003,-2.007365,0.9904299999999999,0.9629909999999999,1.5056379999999998,0.526022,2.143309,1.994594,-0.734012,1.455624,7
2,2.12838,2.0708029999999997,-0.25412199999999996,-0.254144,-0.41468599999999994,-0.36480799999999997,-0.169836,-0.48511499999999996,-0.344279,-1.121191,1.281533,1.50851,-1.50851,-0.175006,-0.7944060000000001,-1.058015,1.425598,-0.556914,1.421925,1.04358,-1.306792,-0.266112,0.21145799999999998,-0.162905,-0.376242,-0.9026069999999999,-1.093775,6
3,-0.1108,-0.204716,-0.782237,-0.782254,-0.427725,-0.387176,-0.165049,-0.49508900000000006,0.917651,-0.288364,-0.755364,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,1.6176620000000002,-0.7084050000000001,-0.575232,-0.6359670000000001,0.623501,1.04358,0.9629909999999999,-0.616875,-1.353173,-0.053761,1.146458,0.30739099999999997,-1.391163,6
4,0.295094,0.243561,0.037228,0.03721,-0.363458,-0.312616,-0.133938,-0.422979,0.23260300000000003,-0.399408,1.273759,1.50851,-1.50851,0.425854,1.984514,-0.551921,1.56074,-0.420766,0.942692,0.007429000000000001,-1.306792,0.28776599999999997,0.585672,0.266492,-0.297793,-0.209494,0.737607,7
5,2.3628970000000002,2.318835,0.22927899999999998,0.229258,-0.38325,-0.349896,-0.15069000000000002,-0.456719,-1.137493,-0.343886,1.8101939999999999,1.50851,-1.50851,-0.175006,-0.9923420000000001,-0.787029,1.3321319999999999,-0.49981899999999996,1.7411159999999999,1.04358,0.9629909999999999,0.13669800000000001,0.424993,-1.711312,0.039252999999999996,-1.189149,0.033986,6
6,1.643563,1.5701889999999998,1.3289600000000001,1.328926,-0.427725,-0.375992,-0.174622,-0.495746,0.448934,-0.232843,1.483668,1.50851,-1.50851,-0.175006,0.308382,-0.9671780000000001,0.927515,-0.624988,0.522022,1.04358,0.9629909999999999,-0.616875,-1.3343120000000002,-1.760419,0.274129,0.054846000000000006,-1.405208,7
7,-0.9609219999999999,-0.9579129999999999,-0.190493,-0.190505,-0.322708,0.00054,-0.057354999999999996,-0.34986799999999996,1.278203,0.655506,-0.755364,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,-0.442064,2.066336,0.102501,0.10625899999999999,-0.653709,-1.6116979999999999,-1.306792,0.504337,-1.211552,0.509578,-1.144051,0.9325100000000001,1.4549219999999998,2
8,-1.033081,-1.053484,-0.792506,-0.7924260000000001,0.326723,0.95119,0.44761000000000006,0.5156430000000001,1.025817,0.711028,-0.506583,-1.0069700000000001,1.0069700000000001,2.8292919999999997,-0.631071,1.232769,-1.39094,-0.071612,-2.217923,-0.717654,0.9629909999999999,1.462914,0.980727,1.775255,1.619967,0.783342,1.455624,7
9,1.041487,0.971727,-0.406977,-0.40700000000000003,-0.42656099999999997,-0.353624,-0.174622,-0.49631899999999995,0.088383,-1.0656700000000001,-0.770913,1.50851,-1.50851,4.431584,0.489203,0.089285,0.725206,-0.539346,0.426354,0.48410299999999995,-1.306792,-0.573796,0.159056,-1.7678909999999999,-0.782812,-0.637573,-1.300577,7
